,well,lat,lon
0,1/2-1,6305128.26,468106.29
1,1/2-1 T2,6305128.26,468106.29
2,1/2-2,6316774.33,469410.1
3,1/2-U-1,6311958.73,466625.99
4,1/2-U-2,6312000.73,466671.62
5,1/2-U-3,6311940.01,466685.16
6,1/3-1,6301488.86,490936.87
7,1/3-10,6309521.94,482089.29
8,1/3-10 A,6309521.94,482089.29
9,1/3-11,6300817.06,482979.33
10,1/3-11 T2,6300817.06,482979.33
11,1/3-12 S,6290057.13,489529.49
12,1/3-2,6310443.2,484786.28
13,1/3-3,6312226.32,498885.66
14,1/3-4,6311354.32,482765.43
15,1/3-5,6292053.66,493528.57
16,1/3-6,6310606.04,482095.98
17,1/3-7,6310930.49,480302.33
18,1/3-7 T2,6310930.49,480302.33
19,1/3-7 T3,6310930.49,480302.33
20,1/3-8,6302911.22,493238.84
21,1/3-9 S,6315610.11,497490.0
22,1/3-9 ST2,6315610.11,497490.0
23,1/3-A-1 H,6310001.5,479994.47
24,1/3-A-2 H,6309996.24,479994.61
25,1/3-A-3 H,6310001.76,480005.63
26,1/3-A-3 HT2,6310001.76,480005.63
27,1/3-K-1,6315610.11,497490.0
28,1/3-K-2,6315611.96,497491.69
29,1/3-K-2 A,6315611.96,497491.69
30,1/3-K-2 T2,6315611.96,497491.69
31,1/3-K-3,6315613.82,497493.04
32,1/3-K-4,6315609.8,497492.53
33,1/3-K-4 T2,6315609.8,497492.53
34,1/3-K-5,6315611.34,497494.05
35,1/3-K-5 A,6315611.34,497494.05
36,1/3-K-5 T2,6315611.34,497494.05
37,1/3-K-6,6315608.56,497494.72
38,1/3-U-1,6290035.25,489500.39
39,1/3-U-10,6309521.02,482087.93
40,1/3-U-11,6300813.05,482977.95
41,1/3-U-12,6309999.93,480000.04
42,1/3-U-13,6309999.93,480000.04
43,1/3-U-14,6309999.93,480000.04
44,1/3-U-15,6309957.0,479988.17
45,1/3-U-16,6309952.05,479989.16
46,1/3-U-2,6289968.77,489500.39
